,name,github_id,category,labels,cargo_id,cargo_url,cargo_monthly_downloads,monthly_downloads,cargo_total_downloads,description,projectrank,show,projectrank_placing,npm_id,greasy_fork_id,npm_url,greasy_fork_url,trending,homepage,new_addition,gitlab_id,license,pypi_id,pypi_url,go_id,go_url
59,Typst Preview VSCode,Enter-tainer/typst-preview,writing,['extension'],,,,,,,0,False,,,,,,,,,,,,,,
60,MiTeX,mitex-rs/mitex,math,"['runnable', 'web', 'typst-package']",,,,,,,0,False,,,,,,,,,,,,,,
61,Scientific Diagrams,janosh/diagrams,docs,['web'],,,,,,,0,False,,,,,,,,,,,,,,
62,Typix,loqusion/typix,coding,['runnable'],,,,,,,0,False,,,,,,,,,,,,,,
63,BeauTyXT,soupslurpr/BeauTyXT,writing,['app'],,,,,,,0,False,,,,,,,,,,,,,,
64,Detypify,QuarticCat/detypify,math,"['web', 'extension']",,,,,,,0,False,,,,,,,,,,,,,,
65,Typic,detypstify/typic,math,['web'],,,,,,,0,False,,,,,,,,,,,,,,
66,typst-py,messense/typst-py,coding,['api'],,,,,,,0,False,,,,,,,,,,,typst,https://pypi.org/project/typst,,
67,yank,roosta/yank,ref,['extension'],,,,,,,0,False,,,,,,,,,,,,,,
68,Excel to Typst Converter,hongjr03/excel-to-typst,convert,['web'],,,,,,,0,False,,,,,,,,,,,,,,
69,typst-ansi-web,pgbiel/typst-ansi-web,mix,"['web', 'app']",,,,,,,0,False,,,,,,,,,,,,,,
70,typst-ansi-hl,frozolotl/typst-ansi-hl,mix,['runnable'],,,,,,,0,False,,,,,,,,,,,,,,
71,cslper,csimide/cslper,ref,"['runnable', 'non-english']",,,,,,,0,False,,,,,,,,,,,,,,
72,citext,Shuenhoy/citext,ref,['typst-package'],,,,,,This package provides: 1. Bilingual bibliography hack before official Typst support for CSL-M (typst/citationberg#5)...,0,False,,,,,,,,,,,,,,
73,typst-set-font,YDX-2147483647/typst-set-font,docs,"['web', 'non-english']",,,,,,,0,False,,,,,,,,,,,,,,
74,YDX-2147483647/faq-bot,YDX-2147483647/faq-bot,coding,['non-english'],,,,,,,0,False,,,,,,,,,,,,,,
75,chomosuke/typst-preview.nvim,chomosuke/typst-preview.nvim,writing,['extension'],,,,,,,0,False,,,,,,,,,,,,,,
76,niuiic/typst-preview.nvim,niuiic/typst-preview.nvim,writing,['extension'],,,,,,,0,False,,,,,,,,,,,,,,
77,al-kot/typst-preview.nvim,al-kot/typst-preview.nvim,writing,['extension'],,,,,,,0,False,,,,,,,,,,,,,,
78,typst.vim,kaarmu/typst.vim,writing,['extension'],,,,,,,0,False,,,,,,,,,,,,,,
79,Markdown-It Typst Math,Lowmst/markdown-it-typst-math,math,['extension'],,,,,,,0,False,,@lowmst/markdown-it-typst-math,,https://www.npmjs.com/package/@lowmst/markdown-it-typst-math,,,,,,,,,,
80,ParaN3xus/typst-snippets,ParaN3xus/typst-snippets,misc,,,,,,,,0,False,,,,,,,,,,,,,,
81,astro-typst,OverflowCat/astro-typst,mix,['api'],,,,,,,0,False,,astro-typst,,https://www.npmjs.com/package/astro-typst,,,,,,,,,,
82,typst-package-template,typst-community/typst-package-template,pkg,,,,,,,,0,False,,,,,,,,,,,,,,
83,typst-community/setup-typst,typst-community/setup-typst,coding,,,,,,,,0,False,,,,,,,,,,,,,,
84,typstfun,lvjr/typstfun,docs,,,,,,,,0,True,,,,,,,https://www.ctan.org/pkg/typstfun,,,,,,,
85,TexText,textext/textext,mix,['extension'],,,,,,,0,False,,,,,,,,,,,,,,
86,TypsTeX,admk/typstex,mix,['api'],,,,,,,0,False,,,,,,,,,,,,,,
87,tex2typst,qwinsi/tex2typst,math,"['web', 'api']",,,,,,,0,False,,tex2typst,,https://www.npmjs.com/package/tex2typst,,,,,,,,,,
88,tex2typ,ParaN3xus/tex2typ,math,['web'],,,,,,,0,False,,,,,,,,,,,,,,
89,typst-undergradmath,johanvx/typst-undergradmath,docs,,,,,,,,0,False,,,,,,,,,,,,,,
90,Typress,ParaN3xus/typress,math,"['runnable', 'web']",,,,,,,0,True,,,,,,,https://typress-web.vercel.app,,,,,,,
